name,album,artist,release_date,length,popularity
Gundu Sudhi,Chatrapathi,M. M. Keeravaani,2005-09-25,256217,59
Manogari,Baahubali - The Beginning,Haricharan,2015-05-19,215536,43
"Taara Taara (From ""Hari Hara Veera Mallu"") [Telugu]","Taara Taara (From ""Hari Hara Veera Mallu"") [Telugu]",M. M. Keeravaani,2025-05-28,237239,57
"Naatu Naatu (From ""Rrr"")","Naatu Naatu (From ""Rrr"")",Rahul Sipligunj,2021-11-10,214399,47
A Vachi B Pai,Chatrapathi,M. M. Keeravaani,2005-09-25,283490,57
Nunugu Misalodu,Yamadonga (Original Motion Picture Soundtrack),M. M. Keeravaani,2007-07-14,302942,56
Ne Ne Nani Ne,Eega (Original Motion Picture Soundtrack),M. M. Keeravaani,2012-04-28,251520,56
Jaamurathiri,Kshana Kshanam,S. P. Balasubrahmanyam,2014-08-31,301557,12
"Kollagottinadhiro (From ""Hari Hara Veera Mallu"") [Telugu]","Kollagottinadhiro (From ""Hari Hara Veera Mallu"") [Telugu]",Ramya Behara,2025-02-24,268480,55
"Naacho Naacho (From ""RRR"")","Naacho Naacho (From ""RRR"")",Vishal Mishra,2021-11-10,214207,54
